Index,Tipo,Género literário,Título,Século de publicação,Passo do texto,Nome do Sujeito,Posição,Número,Sexo do Sujeito,Natureza,Dimensão,Anatomia,Órgãos,Qualificativo do Sujeito,Ação,Causas das ações,Causa específica,Quando,Onde,Latitude,Longitude,Cronologia,Como,Intenção,Nome do Com-Quem,Sexo do Com-Quem,Qualificativo do Com-Quem,Nome do Sobre-Quem,Sexo do Sobre-Quem,Qualificativo do Sobre-Quem,Objeto,Valor,Tipo de sobrenatural,PP.,Observações
1,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Em Roma foy hũũ homē por nome chamado Eufemyano,Eufemiano,Ativo,Singular,Masculino,Humana,Corpo,Corpo,Corpo (integral),Muito nobre; rico,Existir,Sociais,Batismo,Não aplicável,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,45,
2,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Eeste tijnha tres mil moços uistidos todos uistiduras de sirgo,Três mil moços,Ativo,Plural,Masculino,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Vestir,Sociais,Riqueza,Não aplicável,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Vestiduras,Literal,Não aplicável,45,
3,Textual,Hagiografia,Vida de Santo Aleixo,VIII,cingiam todos cintas douro,Três mil moços,Ativo,Plural,Masculino,Humana,Corpo,Tronco,Cintura,Não aplicável,Cingir,Sociais,Riqueza,Não aplicável,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Cintas,Literal,Não aplicável,45,
4,Textual,Hagiografia,Vida de Santo Aleixo,VIII,daua mujtas smollas por amor de deus aos pobres. ,Eufemiano,Ativo,Singular,Masculino,Humana,Corpo,Membros,Mãos,Justo; misiricordioso,Ofertar,Religiosas,Amor a Deus,Cada dia,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Sagrado,Pobres,Ambos,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,45,
5,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Cada dia em sua casa se poynhã tres mesas. em elas dauã de comer aos orfõos aas uyuuas aos pelegrijs romeus aos homees camjnhantes.,"Orfãos; Viúvas, Peregrinos; Caminhantes",Ativo,Plural,Ambos,Humana,Corpo,Cabeça,Boca,Não aplicável,Comer,Sociais,Generosidade,Cada dia,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Mesas,Literal,Não aplicável,45,
6,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Eele comya a hora de noa,Eufemiano,Ativo,Singular,Masculino,Humana,Corpo,Cabeça,Boca,Não aplicável,Comer,Sociais,Nutrição,Hora de nona,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,45,
7,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Asua molher auya nome aglaes muy religiosa 7 que temya deus,Aglaes,Ativo,Singular,Feminino,Humana,Corpo,Cabeça,Cérebro,Muito religiosa,Temer,Religiosas,Devoção,Não aplicável,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Sagrado,Deus,Masculino,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,45,
8,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Enõ tijnha filho por que era manjnha,Aglaes,Ativo,Singular,Feminino,Humana,Corpo,Tronco,Genitais,Triste,Procriar,Biológicas,Esterilidade,Não aplicável,Roma,41.9028° N,12.4964° E,IV,Negativo,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,45,
9,Textual,Hagiografia,Vida de Santo Aleixo,VIII,erã anbos tristes 7 chorosos,Eufemiano; Aglaes,Ativo,Plural,Ambos,Humana,Corpo,Cabeça,Olhos,Tristes,Chorar,Biológicas,Esterilidade,Não aplicável,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,45,
10,Textual,Hagiografia,Vida de Santo Aleixo,VIII,E por que auyam mujtos bēēs,Eufemiano; Aglaes,Ativo,Plural,Ambos,Humana,Corpo,Corpo,Corpo (integral),Não aplicável,Haver,Sociais,Riqueza,Não aplicável,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Bens,Literal,Não aplicável,45,
11,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Dauã cada dia mujtas smollas por amor de deus. ,Eufemiano; Aglaes,Ativo,Plural,Ambos,Humana,Corpo,Membros,Mãos,Sem herdeiros,Ofertar,Religiosas,Amor a Deus,Cada dia,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Sagrado,Pobres,Ambos,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,45,
12,Textual,Hagiografia,Vida de Santo Aleixo,VIII,Ecada huu dia stauã 7 perseuerauã em rogos em orações pidindo adeus que lhe prouuesse de lhes dar alguu filho que herdasse seus bees,Eufemiano; Aglaes,Ativo,Plural,Ambos,Humana,Corpo,Cabeça,Boca,Chorosos,Orar,Religiosas,Esterilidade,Cada dia,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Sagrado,Deus,Masculino,Não aplicável,Filho,Masculino,Hipotético,Não aplicável,Literal,Não aplicável,45,
13,Textual,Hagiografia,Vida de Santo Aleixo,VIII,… lhe prouuesse de lhes dar alguu filho…,Deus,Passivo,Singular,Masculino,Sobrenatural,Transcendental,Cabeça,Cérebro,Não aplicável,Desejar,Religiosas,Vontade divina,Não aplicável,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Sagrado,Aleixo; esposa de Aleixo,Ambos,Não aplicável,Filho,Masculino,Hipotético,Não aplicável,Literal,Não aplicável,45,
14,Textual,Hagiografia,Vida de Santo Aleixo,VIII,… que herdasse seus bees,Filho,Ativo,Singular,Masculino,Humana,Corpo,Corpo,Corpo (integral),Hipotético,Herdar,Sociais,Descendência,Não aplicável,Roma,41.9028° N,12.4964° E,IV,Não aplicável,Profano,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Literal,Não aplicável,45,
